,movieId,tags_genres
0,304,"sandra 'boring' bullock, Comedy, Romance"
1,1517,"dentist, Drama"
2,5166,"Cambodia, Drama"
3,6118,"Russian, Drama, War"
4,6178,"forgettable, Comedy, Romance"
5,6208,"short, Horror, Thriller"
6,6236,"dull story, Animation, Comedy, Fantasy, Musical, Romance"
7,6453,"powerpoint, Documentary"
8,8268,"activist, documentary, uganda, Documentary"
9,129,"Ron Howard, tom hanks, Adventure, Drama, IMAX"
10,1728,"music, weird, Micheal Keaton, Comedy, Fantasy"
11,5481,"Steve Martin, Comedy, Romance"
12,8495,"action, anime, kung fu, Animation, Children"
13,8591,"drama, indie, love, Comedy, Drama"
14,8860,"b movie, comedt, horror, Horror"
15,956,"Trilogy of the Imagination, dystopia, Fantasy, Sci-Fi"
16,2380,"Gilliam, Trilogy of the Imagination, Adventure, Comedy, Fantasy, Sci-Fi"
17,3524,"Trilogy of the Imagination, Adventure, Comedy, Fantasy"
18,3819,"Gilliam, Adventure, Comedy, Fantasy"
19,4373,"Takashi Miike, Comedy, Drama, Horror"
20,6500,"Gilliam, Drama, Fantasy, Thriller"
21,266,"intense, r:violence, tarantino, dark comedy, Quentin Tarantino, Comedy, Crime, Drama, Thriller"
22,3472,"parody, Comedy"
23,908,"emotional, tragedy, Drama, Mystery"
24,7122,"original plot, adapted from:book, Aging Disorder, Brad Pitt, cinematography, drama, original plot, slow parts, touching, Aging, Brad Pitt, original plot, philosophical, Brad Pitt, cinematography, drama, Drama, Fantasy, Mystery, Romance"
25,7459,"Predictable, psychological, twist ending, Psychological Thriller, toplist10, Drama, Mystery, Thriller"
26,6551,"CHRISTIAN, Action, Drama"
27,3338,"jesus, Drama"
28,3621,"jesus, Drama"
29,4756,"bollywood, Drama"
30,4911,"jesus, Adventure, Drama, Romance"
31,5896,"No progress, Too slow, Views, Drama"
32,232,"cult classic, Science Fiction, nerdy, Science Fiction, critically acclaimed, Science Fiction, awesome, awesome soundtrack, jedi, space adventure, coming of age, space epic, science fiction, hero's journey, classic, sci-fi, supernatural powers, George Lucas, starwars, Science Fiction, space, classic sci-fi, series, imaginary world, characters, story, philosophical, script, action, Syfy, Action, Adventure, Sci-Fi"
33,1012,"cult film, jack nicholson, psychological, Stanley Kubrick, cult film, psychology, disturbing, Nudity (Full Frontal - Notable), Nudity (Full Frontal), psychological, violent, Horror"
34,1352,"genius, intellectual, mathematics, psychology, Drama, Romance"
35,3367,"Mindfuck, nonlinear, psychology, twist ending, Mystery, Thriller"
36,3873,"genius, intelligent, math, mathematics, twist ending, Drama, Romance"
37,6556,"Christopher Nolan, complicated, Hugh Jackman, nonlinear, psychological, twist ending, based on a book, twist ending, Drama, Mystery, Sci-Fi, Thriller"
38,7575,"alternate reality, Christopher Nolan, intellectual, mindfuck, philosophy, sci-fi, twist ending, alternate reality, Intrigued, toplist10, Action, Crime, Drama, Mystery, Sci-Fi, Thriller, IMAX"
39,8536,"artificial intelligence, Christopher Nolan, good science, interesting ideea, philosophical issues, physics, relativity, sci-fi, sentimental, space, time travel, time-travel, Sci-Fi, IMAX"
40,8778,"eerie, friendship, teenagers, Horror"
41,6671,"World War II, Action, Adventure, Drama, War"
42,535,"Quirky, overrated, Comedy, Crime, Drama, Thriller"
43,4139,"Tom Cruise, Action, Crime, Mystery, Sci-Fi, Thriller"
44,5163,"Brad Pitt, Action, Adventure, Drama, War"
45,5634,"Nicolas Cage, Action, Adventure, Drama, Mystery, Thriller"
46,7262,"Johnny Depp, Crime, Drama, Thriller"
47,8405,"sexist, Action, Sci-Fi, IMAX"
48,1642,"Emilio Estevez, Children, Comedy"
49,7621,"strong female presence, Drama, Romance"
50,859,"emotional, revenge, true story, Thriller"
51,1367,"cult film, dark comedy, satirical, great dialogue, Jeff Bridges, Nudity (Full Frontal), off-beat comedy, quirky, satirical, Steve Buscemi, Comedy, Crime"
52,1869,"British, Comedy"
53,2115,"childish plot, plot holes, superhero, Action, Sci-Fi"
54,2613,"Kevin Costner, snorefest, Drama, Romance, Thriller"
55,2631,"vigilantism, Action, Crime, Drama, Thriller"
56,2645,"anti-hero, Cole Hauser, Vin Diesel, Horror, Sci-Fi, Thriller"
57,2646,"Amanda Peet, Matthew Perry, Rosanna Arquette, Comedy, Crime"
58,3045,"Bill Murray, quirky, Comedy"
59,3102,"cheerleading, Eliza Dushku, Overrated, Comedy"
60,3259,"standard romantic comedy, Comedy, Romance"
61,4003,"video game adaptation, Action, Horror, Sci-Fi, Thriller"
62,4173,"play enough video games and you can become an NSA agent, ridiculous training sequence, Action, Crime, Thriller"
63,5134,"Guillermo del Toro, steampunk, superhero, Action, Adventure, Fantasy, Horror"
